0Dreamstars.ModTranslation-name|Traducciones para mods
All|Todos
Story|Historia
ArenaCompetitive|Arena competitiva
Public|Pública
Friends Only|Solo amigos
Private|Privada
//3391868410
Bestowed|Otorgado
The Bestowed|El otorgado
THE BESTOWED|EL OTORGADO
Venture through the frozen wastelands of a fallen civilization.<LINE>Your journey will be perilous, with dangers around every corner.<LINE>Will you stop to visit an old friend along the way?|Aventúrate a través de los páramos congelados de una civilización caída.<LINE>Tu viaje será azaroso, con peligros en cada rincón.<LINE>¿Te pararás para visitar a un viejo amigo por el camino?
Spitting up a rock you swallowed will launch it, causing massive blunt force trauma.|Regurgitar una roca que has tragado hará que esta salga disparada, causando un traumatismo descomunal.
Solitary Towers|Torres Solitarias
The Cesspit|El Pozo Negro
Looks to the Moon (Abstract Convergence Manifold)|Miras a la Luna (Colector Abstracto de Convergencia)
Struts|Soportes
Looks to the Moon (Neural Terminus)|Miras a la Luna (Terminal Neuronal)
Sublunar|Sublunar
Looks to the Moon (Memory Conflux)|Miras a la Luna (Confluencia de Recuerdos)
Dark Side|Lado Oscuro
Drainage System (Overheated)|Sistema de Drenado (Sobrecalentado)
Glacial Wasteland|Páramo Glacial
Icy Monument|Monumento Helado
Desolate Fields|Campos Desolados
Frigid Facility|Instalación Gélida
The Shell|El Caparazón
Dreary Overpass|Paso Elevado Lóbrego
Desolate Subways|Metros Desolados
The Abyss|El Abismo
Forgotten Labyrinth|Laberinto Olvidado
Frosted Cathedral|Catedral Congelada
Guarded Archives|Archivos Cuidados
Windswept Spires|Agujas Huracanadas
Frozen Mast|Mástil Congelado
Suburban Drifts|Montículos Suburbanos
Imposing Architecture|Arquitectura Imponente
The Subsurface|La Subsuperficie
Perilous Altitude|Altitud Azarosa
Barren Conduits|Conductos Abandonados
Desolate Canal|Canal Desolado
:3|:3
//3393900034
Gray Urban|Ciudad Gris
Gay Urban|Ciudad Gay
//3393902748
Necropolis|Necrópolis
//3393904120
Seer|Vidente
The Seer|El vidente
THE SEER|EL VIDENTE
A brave explorer that has seen far and wide. Your last venture changed you.<LINE>You will have to retune yourself to the spiritual world if you want to keep going forward.|Un valiente explorador que ha visto cada rincón. Tu última aventura te cambió.<LINE>Tendrás que volver a sintonizarte al mundo espiritual si quieres seguir adelante.
