0Dreamstars.ModTranslation-name|模组翻译
Communications tower|通讯塔楼

//3418539114
WesternForest-description|添加西部森林区域，连接到外层空间。目前有4个已完成的过渡区域，共有9个屏幕。游戏中有一些测试房间，但是传送到那里会导致游戏崩溃。这个模组还没有完成，我非常乐意得到反馈。
Western Forest|西部森林

//3418712280
rwslugcat_exrainworld-description|我尝试尽可能多地添加内容的地图扩展模组<LINE>该模组在部分区域做了细微的布局调整<LINE>包含的区域：<LINE>郊区 - 7 个房间 - 13 个屏幕<LINE>排水系统 - 1 个房间 - 2 个屏幕<LINE>五块卵石 - 7 个房间 - 26 个屏幕<LINE>烟囱顶篷 - 10 个房间 - 36 个屏幕<LINE>外部 - 1 个房间 - 1 个屏幕<LINE>地下 - 4 个房间 - 30 个屏幕<LINE>阴影城堡 - 4 个房间 - 16 个屏幕<LINE>未来会添加更多内容，包括未列出的其他区域<LINE>可与倾盆大雨兼容，但未来会为该模组制作倾盆大雨的附加组件<LINE>已添加兼容性：<LINE>扩展郊区 https://steamcommunity.com/workshop/filedetails/？id=2967731316<LINE><LINE>最初名为“野心过大的地图扩展模组”<LINE>“mo'miles”懂吗，因为mo'tiles，天哪，我太搞笑了。
Side Wall|侧墙

//3424930016
SnowBee.Snow-name|凛冬终末
SnowBee.Snow-description|探索一个独特的世界。
Conduit Reliquary|圣明灌渠
NaturePath|自然道径
Outpost Citadel|前哨堡垒
Terrestrial Tower|领陆塔楼
Blizzard's Embrace|严寒之怀
Frostbite Hailstorm|霜寒雹暴
Tundra Ruinfields|苔原遗迹
Terranium Train|领陆列车
Ashen Desolation|灰白孤野
Dusk|暮霭
Eroded Ridge|侵蚀山脊
FrostFall Expanse|霜降外缘
Withered Wall|凋零高墙
CryoBloom|霜凝雾华
CryoBloom (General Bus)|霜凝雾华（通用串行总线）
CryoBloom (Data Recursive Data)|霜凝雾华（数据递归阵列）
CryoBloom (PowerLine System)|霜凝雾华（电源线控系统）
CryoBloom (Memory Flux Lane)|霜凝雾华（存储回流阵列）
Glacial Tower|冰川高塔
The Frost|寒霜
THE FROST|寒霜
Frost|寒霜
A nimble and agile ice-type slugcat, adept at navigating frozen terrains with ease. <LINE>Its sleek blend seamlessly into icy environments, making it survival in the coldest of climates.|一个机敏且适应严寒的蛞蝓猫，擅于在冰雪之上航线。<LINE>光滑的外表与冰冷的环境无缝融合，它得以在极寒中生存。
The Lumia|流光
THE LUMIA|流光
Lumia|流光
Seems concerned about the two iterators.|似乎很关心两个迭代器。
The SnowFlake|雪花
THE SNOWFLAKE|雪花
SnowFlake|雪花
Snowflake|雪花
Fragile in the embrace of its icy power, navigates the brutal blizzards with a remarkable resilience. <LINE>Its unique survival skills keep it thriving amidst the unforgiving snowscape.|在严寒之怀和它极寒的力量面前显得脆弱，却以非凡的韧性在残酷的暴雪中穿行。<LINE>它独特的生存技能使它在无情的冰天雪地中茁壮成长。

//3427461064
April.MD-description|探索数据储存区的蜿蜒曲折与宏伟高度，以及拾荒者。
Data Manifold|数据汇集
HOUSE MD BABY !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!|MD小宝贝的家！！！！！！！！！！！！！！！！！！

//3427933524
//已下架，暂无法翻译简介
Howler|呼喊者
HOWLER|呼喊者
THE HOWLER|呼喊者
The howler|呼喊者
The Howler|呼喊者
You are the nest of parasites. Move this twisted body and survive. Mother nature rejects you.|你是寄生虫的温床。<LINE>拖着这副扭曲的身体生存。<LINE>充满母爱的自然拒绝了你。

//3441764924
// 模组信息
nacu.bingomode-description|在雨世界bingo，你的目标是完成在你的bingo板上的各种可定制挑战，可以自己一个人玩或者和他人竞赛！

// 可以正常显示的任务
Obtaining passages|获得通行证
Earn <achievement_name> passage|获得<achievement_name>通行证
Collecting broadcasts|收集广播
Collect the <chatlog> broadcast|收集<chatlog>广播
Collecting pearls|收集珍珠
Collect the <pearl> pearl from <region>|收集来自<region>的<pearl>珍珠
Collect [<current>/<amount>] colored pearls|收集[<current>/<amount>]个彩色珍珠
Transporting the same creature through gates|运送同一个生物穿过业力门
Transport the same <crit> through [<current>/<amount>] gates|将同一个<crit>运送穿过[<current>/<amount>]个业力门
Scoring cycle points|单个雨循环获得分数
Earn [<current_score>/<score_target>] points from creature kills in one cycle|单个雨循环通过击杀生物获得[<current_score>/<score_target>]分
Hitting creatures with items|用物品击中生物
Hit <crit> with <weapon> [<current>/<amount>] times<location>|用<weapon>击中<location><crit>[<current>/<amount>]次
Hit <crit> with <weapon> [<current>/<amount>] times<location> in one cycle|单个雨循环用<weapon>击中<location><crit>[<current>/<amount>]次
Dropping a creature in the depth pit|将一个生物扔进深渊入口
Drop a <crit> into the depths drop room|将一只<crit>从深渊入口(SB_D06)扔下
Dodging a leviathan|躲避利维坦
Dodge a leviathan's bite|躲避一次利维坦的啃咬
Dodging Noodlefly attacks|躲避面条蝇攻击
Dodge [<current>/<amount>] Noodlefly attacks|躲避[<current>/<amount>]次面条蝇的攻击
Avoiding killing creatures|避免杀死生物
Never kill <victim>|不要杀<victim>
Avoiding items|避免使用物品
Never eat <item>|不要吃<item>
Never use <item>|不要用<item>
Eating specific food|吃特定食物
Eat [<current>/<amount>] <food_type> <starved>|<starved>吃[<current>/<amount>]个<food_type>
while starving|在挨饿循环
Visiting echoes|朝见回响
Visit <amount> Echoes|拜访<amount>个回响
Visit <amount> Echoes while starving|在挨饿循环拜访<amount>个回响
Visit the <echo_location> Echo|拜访<echo_location>回响
Visit the <echo_location> Echo while starving|在挨饿循环拜访<echo_location>回响 
Entering a region from another region|从特定区域进入区域
First time entering <to> must be from <from>|必须通过<from>首次进入<to>
Scoring total points|获得分数
Earn [<current_score>/<score_target>] points from creature kills|通过击杀生物获得[<current_score>/<score_target>]分
Crushing creatures|砸扁生物
Crush [<current>/<amount>] unique creatures by falling|通过下落砸中[<current>/<amount>]个不重复的生物
Delivering the green neuron|运达绿色神经元
Reactivate Looks to the Moon|重启仰望皓月
Deliver the green neuron to Five Pebbles|将绿色神经元运达五块卵石
Hatching noodlefly eggs|孵化面条蝇卵
Hatch [<current>/<amount>] noodlefly eggs|孵化[<current>/<amount>]个面条蝇卵
Hatch [<current>/<amount>] noodlefly eggs in one cycle|单个雨循环孵化[<current>/<amount>]个面条蝇卵
Avoiding death before completing challenges|完成挑战前避免死亡
Do not die before completing [<current>/<amount>] bingo challenges|在完成[<current>/<amount>]个bingo挑战前不要死亡
Visiting iterators|拜访迭代器
Visit <iterator>|拜访<iterator>
Consuming karma flowers|吃业力花
Consume [<current>/<amount>] Karma Flowers|吃[<current>/<amount>]朵业力花
Getting licked by lizards|被蜥蜴舔
Get licked by [<current>/<amount>] unique lizards|被[<current>/<amount>]只不重复的蜥蜴舔
Mauling different types of creatures|撕咬不同种生物
Maul [<current>/<amount>] different types of creatures|撕咬[<current>/<amount>]种生物
Mauling creatures a certain amount of times|撕咬生物特定次数
Maul creatures [<current>/<amount>] times|撕咬生物[<current>/<amount>]次
Collecting or delivering Moon's cloak|收集或送达仰望皓月的斗篷
Collect Moon's Cloak|获得仰望皓月的斗篷
Deliver the Cloak to Moon|将斗篷送达仰望皓月
Delivering neurons|递送神经元
Deliver <progress> neurons to Looks to the Moon|将<progress>个神经元送给仰望皓月
Avoiding giving Needles to Scavengers|避免赠送拾荒者骨矛
Do not gift Needles to Scavengers|不要把骨矛送给拾荒者
Delivering colored pearls|递送彩色珍珠
Deliver the <region> colored pearl to <iterator>|将位于<region>的彩色珍珠送达<iterator>
Popping popcorn plants|打开爆米花
Open [<current>/<amount>] popcorn plants|打开[<current>/<amount>]个爆米花
Feeding the Rarefaction Cell to a Leviathan|将质量稀释电池喂给利维坦
Feed the Rarefaction Cell to a Leviathan (completes if you die)|将质量稀释电池喂给利维坦(死亡后也视为完成任务)
Delivering the music pearl to Five Pebbles|将赞美诗珍珠运达五块卵石
Deliver the music pearl to Five Pebbles|将赞美诗珍珠运达五块卵石
Eating popcorn plant seeds|吃爆米花种子
Eat [<current>/<amount>] popcorn plant seeds|吃[<current>/<amount>]个爆米花种子
Befriending creatures|和生物交朋友
Befriend a <crit>|和一只<crit>交朋友
Befriend [<current>/<amount>] unique creature types|和[<current>/<amount>]种独立生物交朋友
Trading items to merchants|和拾荒者商贩交易
Trade [<current>/<amount>] worth of value to Scavenger Merchants|和拾荒者商贩交易价值为[<current>/<amount>]的物品
Trading already traded items|倒卖物品
Trade [<current>/<amount>] item from Scavenger Merchants to other Scavenger Merchants|将[<current>/<amount>]个物品从拾荒者商贩处交易给其他拾荒者商贩
Trade [<current>/<amount>] items from Scavenger Merchants to other Scavenger Merchants|将[<current>/<amount>]个物品从拾荒者商贩处交易给其他拾荒者商贩
Collecting vistas|访问瞭望点
Collect the vista in <region_name>|到达位于 <region_name>的瞭望点

// 暂时无法完全翻译的任务
Entering regions without visiting one|不途径某区域情况下进入某区域
Enter [<current>/<required>] regions without visiting|进入[<current>/<required>]个区域而不途径*
Throwing grenades at scavenger tolls|将炸弹扔向拾荒者收费站
Throw <action> at <toll><pass>|把<action>扔向<toll><pass>*
Crafting items|制造物品
Craft [{0}/{1}] <item>|制造[{0}/{1}]个<item>*
Entering a region|进入区域
Enter |进入*
Killing creatures|杀死生物
Kill [<current>/<amount>] <crit><location><pitorweapon><starving><onecycle><shrooms>|在<onecycle>内，处于<starving>，使用<pitorweapon>杀死[<current>/<amount>]个位于<location>的<crit>
Putting items in shelters|在避难所里储藏物品
<action> [<current>/<amount>] <target_item> <shelter_type> shelter <location>|在<shelter_type>庇护所<location>中<action>[<current>/<amount>]个<target_item>
Avoiding a region|绕过区域
Do not enter |不要进入
Hoarding pearls in shelters|在避难所里储藏珍珠
common pearls|普通珍珠
colored pearls|彩色珍珠
Store <amount> <target_pearl> in a shelter in <region_name>|在<region_name>的避难所里储藏<amount>个<target_pearl>
Pinning creatures|钉住生物
Pin [<current_pin>/<pin_amount>] <crit> to walls or floors<region>|将[<current_pin>/<pin_amount>]个<crit>钉在<region>的墙上或地面上
Stealing items|盗取物品
Steal [<current>/<amount>] <item> from |盗取[<current>/<amount>]个<item>来自
a Scavenger toll|一个拾荒者收费站
Transporting creatures|运送生物
Transport a <crit><from><to>|将一个<crit>从<from>运到<to>
Getting arena unlocks|获得解锁代币
Get the |获得
unlock|代币

// UI和菜单相关
Tally up|结算
Refresh|刷新
Friends only: |仅限好友
Multiplayer|多人游戏
Friends only: Yes|仅限好友：开
Friends only: No|仅限好友：关
Profiles|档案
BEGIN|开始
Shelter:|庇护所
PLAY BINGO|Bingo模式
Require host's mods: |需要同步主机模组: 
Max player: |玩家上限: 
Game mode: |游戏模式: 
Mod version: |模组版本: 
Perks: |增益: 
Burdens: |负担: 
Slugcat: |蛞蝓猫: 
Allowed|开启
Disabled|禁用
Host decides|由房主决定
JOIN-|加入-
KICK-|踢出-
CREATE|创建
CLOSE|关闭
Allowed - |开启 - 
Disabled - |禁用 - 
Host decides - |由房主决定 - 
Bingo - |经典 - 
Lockout (ties) - |抢占（可平局） - 
Lockout (no ties) - |抢占（无平局） - 
Blackout - |满盘 - 
Leave Lobby|退出房间
Copy board|复制表格
Paste board|粘贴表格
Bingo Mod Config|Bingo模组设置
Open Bingo HUD keybind:|按键显示bingo板：
Which button opens/closes the Bingo grid in game|设置按键用于打开/关闭游戏内的bingo表格
-  Keyboard|-  键盘
-  Controller 1|-  手柄1
-  Controller 2|-  手柄2
-  Controller 3|-  手柄3
-  Controller 4|-  手柄4
Use map input instead:|使用地图键代替：
Quick reset keybind:|快速重置键位：
Play custom music in bingo menu:|在bingo菜单播放自定义音乐：
Play custom music when game ends:|游戏结束时播放自定义音乐：
Play custom music when your team is losing:|你的队伍败北时播放自定义音乐：
Singleplayer team color:|单人游戏队伍颜色：
Which team's color to use in singleplayer|单人游戏时使用哪种队伍颜色
Red|红
Blue|蓝
Green|绿
Orange|橙
Pink|粉
Cyan|青
Black|黑
Hurricane|飓风
Game concluded!|游戏结束！
Number of challenges completed: |完成的挑战数：
Number of challenges completed for each team: |各队完成的挑战数：
Click on a challenge type to block it from generating|点选一种挑战类型以在随机生成种禁用该类型
Team <team_name> won!<LINE>Press the button in the bingo HUD to end the bingo session for everyone.|<team_name>队胜利了！<LINE>请点击Bingo界面中的按钮来为所有玩家结束游戏。
Team <team_name> won!<LINE>Press the button in the bingo HUD or abandon the save to end the bingo session.|<team_name>队胜利了！<LINE>请点击Bingo界面中的按钮，或放弃保存以结束这场bingo游戏。
Team <team_name> won!<LINE>Exit the game and abandon the save or wait for host to end the session.|<team_name>队胜利了！<LINE>请等待房主结束游戏或者退出游戏。
You won!<LINE>Press the button in the bingo HUD to end the bingo session for everyone.|你赢了！<LINE>请点击Bingo界面中的按钮来为所有玩家结束游戏。
You won!<LINE>Press the button in the bingo HUD or abandon the save to end the bingo session.|你赢了！<LINE>请点击Bingo界面中的按钮，或放弃保存以结束这场bingo游戏。
You won!<LINE>Exit the game and abandon the save or wait for host to end the session.|你赢了！<LINE>请等待房主结束游戏或者退出游戏。
We have a tie!<LINE>Press the button in the bingo HUD to end the bingo session for everyone.|打成平局！<LINE>请点击Bingo界面中的按钮来为所有玩家结束游戏。
We have a tie!<LINE>Press the button in the bingo HUD or abandon the save to end the bingo session.|打成平局！<LINE>请点击Bingo界面中的按钮，或放弃保存以结束这场bingo游戏。
We have a tie!<LINE>Exit the game and abandon the save or wait for host to end the session.|打成平局！<LINE>请等待房主结束游戏或者退出游戏。

//3448525198
overgrowth-description|介绍你的模组！
LOST SOUL|迷失灵魂
 The Lost Soul|迷失灵魂
Explore an new land, far from the reaches of Pebbles' destruction|探索一片新的土地，远在五块卵石的破坏范围之外。
Sunlit Scaffolds|日晒支架
Sunbathed Cathedral|日耀圣堂

//3449085772
blizzrd.amputation-description|深入探索这个充满腐肉与垃圾的倾斜区域。连接垃圾堆和外层空间。
Decaying Wastes|腐朽荒地
His pearl glows...|他的珍珠在发光……
//normal
Exsected Husk|切除的躯壳
Western Intake System|西部摄水系统
//spear
Severence|切断之处
Western Intake System|西部摄水系统
//arti
So...Much...WATER WHAT THE FUCK!!!|这么……多……水卧槽！！！
Wild Wild Western Intake System|超级狂野西部摄水系统
//red
//同Spear
//Saint
The Corpse|尸骸
Obsolete Pipelines|废弃管道
//inv
OOPS! ALL MOMMIES!|哎呀妈呀
Resident Evil 7|生化危机7

//3453076577
kizorke.deszcworlde2-description|闯入一片野生植物和废墟建筑交织在一起的土地，深入研究将内部机器与外部土地分开的屏障。<LINE><LINE><LINE><LINE>这个区域几近完成了（~80%），所以请期待未完成的房间和其他不同寻常的东西。<LINE><LINE>不管怎样，玩得开心！
Mossy Rifts|苔原裂隙
serniczek|奶酪蛋糕
Retaining Wall (South-West Entrance)|挡土墙（西南入口）
Marsh Pier|沼泽码头
kizorke.deszcworlde2-description|进入一处废墟建筑与野生植物交织的土地，深入探索以发现将内部设施与外部区域分开的隔断<LINE><LINE>这个区域的绝大部分已经完成（~ 80%），所以敬请期待未完成房间及其他部分。<LINE>无论如何，玩得开心！”

//3457887314
auxiliaryintake-description|一个基于水存在的区域，通过摄水系统将排水系统和海岸线延伸到五块卵石。
Auxiliary Intake|辅助摄水系统
The Reservior|水库

//3466384338
mk.barnacleworld-name|珊世界
mk.barnacleworld-description|珊瑚虫占领世界!
Coral Canopy|珊瑚顶棚
Deep Sea Dranage|深海排水系统
Garbage Reef|垃圾礁
Industrial Seafloor|海底工业区
Deep Arrays|深洋阵列
Subsurface|基岩
Sea of Ascension|飞升之海
Seabed Citadel|比奇堡
Memory Sea|记忆深渊
Sea Islands|海洋群岛
Communications Ocean|通讯汪洋
Blue Shore|海蓝线
Coral Brain|珊瑚脑
Coral Brain (Memory Conflux)|珊瑚脑（内存汇流）
Coral Brain (Recursive Transform Array)|珊瑚脑（递归变压阵列）
Coral Brain (Corruption)|珊瑚脑（已腐化）
Coral Brain (General Systems Bus)|珊瑚脑（通用系统总线）
Coralskirts|珊瑚郊
Upper Reef|礁顶
Oceanic Tower|海之高塔

//3474041462
Ashen Bow|苍弓
Undertracks|下部轨道
Starlit Spire|烁星高塔
The Spine|山脊
Reticent Line|缄默航线
ashenbow-description|一个随着时间流逝而衰败的超低温的卫星发射通信基地，连接农场阵列和阴影城堡。该区域有71个房间（不包括业力门/庇护所），新的威胁/环境音乐，4颗有色珍珠以及一个回响。祝探索愉快！<LINE><LINE>圣徒无法进入该区域(暂时…我计划在大修部分房间后添加圣徒线)。发现问题时会进行更新，另外提高生活质量（对这个有点陌生）。观望者DLC非必须选项，但如果你安装了，会生成一些其他生物：D<LINE><LINE>owlsquish -区域和音乐<LINE><LINE>Artisticallycaffeinated-区域背景CG<LINE><LINE>Boo（Hayden McAlpine-Hall）和@hello_bjf -额外贴图

//3466127398
Perk_Camo_Name|伪装
Perk_Camo_Desc|按住“特殊”按钮可短时间获得躲避捕食者的伪装能力。
Perk_LongWarp_Name|永久扭曲
Perk_LongWarp_Desc|形成永久而不是会在五个循环内消失的涟漪。<LINE>观察者专属
Perk_PoisonSpear_Name|毒矛
Perk_PoisonSpear_Desc|用毒矛开始探险。
Perk_Boomerang_Name|回旋镖热潮
Perk_Boomerang_Desc|所有的石头都有机会被回旋镖取代。

Burden_Rot_Name|被腐化
Burden_Rot_Desc|所有区域在开始时就会被全部占领并感染。<LINE>这是为挑战而准备的。

Challenge_Rot_Name|腐化蔓延
Challenge_Rot_Desc|用觉知腐化感染 <score_target> 区域
 [<current_score>/<score_target>]
Challenge_ST_Name|回响拜访
Challenge_ST_Desc|拜访在 <region> 的回响
Challenge_Warp_Name|传送周期
Challenge_Warp_Desc|在一个循环内传送 <target> 次 [<current>/<target>]
challenge_Prince_Name|王子交付
challenge_Prince_Desc|交付 <item> 给王子

Mission_Rot|腐化世界
Watcher_Ex_Description|作为观察者，形成新的路径，在<LINE>涟漪中寻找新的目标。


WatcherExpeditions_Name|~观望者探险模组~
WatcherExpeditions_Desc|非官方的观望者探险

WEConfig_Name_RippleMax|最高涟漪等级
WEConfig_Desc_RippleMax|最高涟漪等级的起始量。 你需要三级最高涟漪等级来开启传送，五级涟漪等级来开启浮空，八级涟漪等级来传送到所有区域，九级业力等级来开启恶魔。
WEConfig_Name_RippleMin|最小涟漪等级
WEConfig_Desc_RippleMin|最小涟漪等级的起始量。 也许你不值得，你的最小涟漪等级会随着你拜访陀螺的次数增加而增加。
WEConfig_Name_RippleStart|起始涟漪
WEConfig_Desc_RippleStart|涟漪等级的起始量，业力的替换品。
WEConfig_Name_ChangeRipple|回响改变的最大/最小涟漪等级
WEConfig_Desc_ChangeRipple|允许陀螺增加的最大和最小的涟漪等级。可以将涟漪设置到它可以达到的最大值。对原版探险中的回响无效。
WEConfig_Name_KarmaFlower|全区域业力花
WEConfig_Desc_KarmaFlower|允许业力花在每个观望者探险区域产生，作为观望者传送能力所需的重要物品。如果被禁用，它们仍然会产生在外缘，破碎露台，恶魔和腐化区域。
WEConfig_Name_Unlock|强制解锁
WEConfig_Desc_Unlock|不管是否完成观望者线，解锁观望者探险。
WEConfig_Name_UnlockPerks|
WEConfig_Desc_UnlockPerks|
 
 
WEConfig_Name_Hunt_Barnacle|狩猎——藤壶
WEConfig_Desc_Hunt_Barnacle|允许狩猎挑战选择：藤壶 从1.10.2开始，它们可以用波动龟来去壳。
WEConfig_Name_Hunt_SandWorm|狩猎——沙虫
WEConfig_Desc_Hunt_SandWorm|允许狩猎挑战选择：沙虫。类似于红树，但眩晕使你一旦被抓住就难以逃脱，并且它们会隐藏。
WEConfig_Name_Hunt_BigMoth|狩猎——大蛾
WEConfig_Desc_Hunt_BigMoth|允许狩猎挑战选择：大蛾。在1.10.2中，它们似乎更容易与之战斗和逃脱
WEConfig_Name_Hunt_BoxWorm|狩猎——箱虫
WEConfig_Desc_Hunt_BoxWorm允许狩猎挑战选择：箱虫。箱虫可以很轻易地困住你，在可以被杀死之前需要激活它们，和它们的战斗并不是很有趣。没有火精灵的箱虫是无法被杀死的。
WEConfig_Name_Hunt_BoneShaker|狩猎——震骨者
WEConfig_Desc_Hunt_BoneShaker|允许狩猎挑战选择：震骨者。 它们只会出现在腐化地图或者被腐化的地图之中。可以通过击倒他们从顶部杀死他们。
WEConfig_Name_Challenge_Rot|腐化传播挑战
WEConfig_Desc_Challenge_Rot|需要你感染区域来达成的挑战。5个为正常难度，范围为3-9.
WEConfig_Name_Challenge_ST|
WEConfig_Desc_Challenge_ST|
 
WEConfig_Name_RotWorld_Hunt|腐化维度——狩猎
WEConfig_Desc_RotWorld_Hunt|狩猎计入腐化区域内的敌人，例如长腿菌和烈焰蜈蚣。因为你无法选择传送到哪个腐化区域，所以不建议勾选这个选项。
WEConfig_Name_RotWorld_Shelter|腐化维度——庇护所
WEConfig_Desc_RotWorld_Shelter|探险可以从腐化区域开始。你需要找到一个出口，然后传送你到一个随机的区域。永远不会到达外缘。
 

WEConfig_Name_VanillaPassage|观望者线通行证
WEConfig_Desc_VanillaPassage|在观望者线中启用黑屏通行证功能。黑屏区域是因为它不兼容传送和没有区域艺术的新区域。
WEConfig_Name_ColorFix|修复自定义颜色
WEConfig_Desc_ColorFix|观望者拥有他自己的身体颜色覆盖和一部分黑色阴影，忽略自定义颜色，惬意合作的自定义合作以及他的默认设置为深蓝色。这使得拓展自定义和惬意合作的自定义颜色起效。
WEConfig_Name_Sandbox|观望者沙盒
WEConfig_Desc_Sandbox|在沙盒和竞技场中添加观望者的生物和物品。官方最终会正式添加这些东西。没有解锁要求。腐化蜥蜴不存在在这些当中，因为它们并不是单独的生物。
WEConfig_Name_Music|观望者音乐盒
WEConfig_Desc_Music|在音乐盒中加入观望者原声带，无需解锁。
WEConfig_Name_STSpeak|陀螺对话
WEConfig_Desc_STSpeak|允许陀螺对话，它将按照顺序选择对话。

Info Dump|信息转存
Dump a  bunch of info|转存一些信息

WatcherExpeditions-description|在探险游戏模式中加入观望者，以及一些额外的增益，一个使命任务和一个新的挑战类型。<LINE>在竞技场模式中添加观望者。<LINE>在竞技场模式中添加观望者DLC生物。

//3471172003
gloamingrefinery-description|泡沫拓展的一部分；一个被无情的冻土覆盖的失落破败炼油厂。从凄凉荒地连接到热导管。拥有3个子区域，威胁音乐，回响和一个音轨。当然，还有更多即将到来！
Gloaming Refinery|暗暮油厂
Lower Hydrovaults|下储水库
Vapor Tunnels|蒸汽甬道

//3470843514
morerotregions.elsafogen-name|更多腐化区域
morerotregions.elsafogen-description|增加更多使用无业力花传送到达的重度腐化惩罚区域。<LINE>包括烟囱天棚、天空群岛、外缘、农场阵列、阴影城堡、海岸线、地底、大都会、外层空间，当然还有大家最爱的管道堆场。
Festering Towers|朽败弃塔

//3479823994
Coastal Building|临海建筑
The River|河流
Dreamscape-description|此拓展包内含2个小区域，我做来测试观望者所有的新物品<LINE>注意！这些区域未投入过多精力制作！<LINE>此扩展是为观望者专属！<LINE>第一个区域的入口位于WTDB（凄凉地带）中

//3480541871
sss-description|heamalgamishere（关卡编辑/开发主催）<LINE> perseistaken（代码）<LINE> saddiqui（音乐）<LINE>感谢我们的测试者！
Six Strange Sights|六处奇景
The Mossy Leg|苔痕支架
Sun Soaked Exterior|浸日外缘
Rot Core|腐化核心
Sunken Ridge|沉没山脊

//3482731057
Cliffside|峭壁
Bygone Mineshaft|古老矿井
Summit of Mistakes|错误山峰
nograndideas-description|在一个遥远大陆的海岸上，有一座点缀着古老的矿井和隧道的山峰，它被笼罩于附近一座巨构产生的迷雾与阴影中。<LINE>目前仅矛大师可通过苔藓原野（Moss Fields）到达。<LINE>-------制作组-------<LINE>关卡设计，编写：Parageist<LINE>编码：NV<LINE>威胁音乐由LudoCrypt制作<LINE>'Debris'和'Washout'：Sidera， ‘Palisation’：Tryn<LINE>峭壁区域CG：Wolfycatt<LINE>NGIGULL贴图：seren，所有其他贴图：Parageist。<LINE>游戏测试：VoidComputer， Vividyon, macaco103, Moldova223, theone whoscreamsigess <LINE>另外感谢Myrmice创造了苔藓原野，

//3482943061
anti-gravitycaves-description|添加了一个区域。
Anti-gravity caves|反重力洞穴
Functional Wing|运行侧翼
Damaged sector|受损扇区

//3488620216
spire.awfulmaze-description|这个模组很烂。
The Labyrinth|迷宫
Virgil's Vile Vmaze|维吉尔歪恶V迷宫
Hidden Crevice|隐藏裂缝
Our House, In The Middle Of Our House|我们的房子，在我们的房子中央

//3488862857
3ch0-1fy.thegalleryever-description|这个区域保存着我大部分的画廊房间，不管有没有展示，享受即可。<LINE>注意：将来我会添加更多的房间，所以请每隔一段时间都回来看一看，谢谢:]
Echo's Rooms|Echo的画廊房间

//3491839053
peripheralwreckager-description|一个连接工业区和排水系统的杂草丛生的工厂。这是我一个计划了一年的老区域现在我决定放出来它，因为……因为是的，为什么不呢？<LINE>现在房间已经烘焙完成！不过这里几乎没有庇护所。<LINE>威胁音乐由Hessi制作！
Peripheral Wreckage|外围残骸
Flooded Vents|浸没通风口
Fallen Ruins|坠落残骸

//3494542551
thurmaturge-description|在异国他乡醒来。
Regent's Ascent|摄政天路
Old Infrastructure|陈旧基建
Vagrant|漂泊者
The Vagrant|漂泊者
THE VAGRANT|漂泊者
A life lived in isolation, idle survival and merryment. But there might be something more beyond, as the world around you changes.|一只与世隔绝、享受着悠闲生活的生物。<LINE>但伴随着周遭世界的变化，或许会有新事物闯入你的生活。

//3496527411
SPEARMASTERPREVIEWURBANEXPANSE.-description|欢迎来到我制作了至少一年的第一个雨世界模组：“三重麻烦”。这个模组将会给每一个“过去”的蛞蝓猫在某些地区一个独特的区域拆分。此版本包含郊区（目前只有矛大师）
Urban Expanse|郊区拓展
Water Purification Center|水流净化中心
Grim Urban|阴森都市
Dense Urban|稠密都市

//3494010013
WesternForestExpansion-description|添加了泥泞河谷区域，连接到外层空间。目前，有5个已经建成的过度房间和一个业力门，总共有16个屏幕。这个模组暂时没有完成，我想要反馈。
Miry Strath|泥泞河谷

//3497918836
//已下架，暂无法翻译简介
Rebuilt Umbra|重铸暗影
Outer Barrens|外部荒地
Primary Intake|初级摄水系统
Upper Towers|高塔上部
mk.warped|扭曲者
The Warped|扭曲者
THE WARPED|扭曲者
A very lost slugcat.<LINE>How did it even get here?|一只迷路的蛞蝓猫。<LINE>他是怎么到这来的？

//3498563217
puzzlemod-description|围绕科技与故障建设了两个新的猎手专属区域。
Pearlescent Chambers|珠光庭
Fragmented Storerooms|破碎储藏室

//3459890439
easternexpanse-description|五块卵石之下，向东，在古老建筑下方隐藏着一处荒原。<LINE>探索野外沼泽，河流侵蚀的潮汐<LINE>踏上旅途，将过往印象甩在身后。
Dark Caves|晦暗洞窟
Eastern Expanse|东向广域
Flooded Nest|浸湿巢穴
Weathered Lake|风化湖泊
New Home|新家
Wilden Swamps|荒滩沼泽
Hillside|山坡
Tower|高塔

//3153903951
com.rainworldgame.shroudedassembly.plugin-description|为Shrouded Assembly或者其他模组撰写的代码配件。
//Shrouded Assembly Code
//PureCrystal
This is the crystalline fruit of some sort of plant.<LINE>It seems very delicate, so handle it with care!|这是某种植物结出的晶状果实。<LINE>它好像非常易碎，要小心轻放！
//RockFruit
It’s some sort of shelled fruit, of no nutritional value to you.<LINE>The indentations in it’s mantle help build up air inside, releasing in a pop when provoked.|这是一种带壳果实，于你而言没有营养价值。<LINE>其外壳的凹陷结构会在内部积聚空气，受激时发出爆裂声。
//BigGoldenPearl
